name of the body,position x,position y,position z
sun,0.000319518,-0.00296186,5.48517e-06
jupiter,4.7373,1.41119,-0.111939
saturn,7.27171,5.67358,-0.387862
uranus,13.8417,-14.2987,-0.23259
neptune,16.2516,-25.3689,0.147878
sun,0.000330475,-0.00299365,5.36269e-06
jupiter,4.72892,1.43892,-0.111866
saturn,7.25807,5.68961,-0.387598
uranus,13.8519,-14.2893,-0.232688
neptune,16.2612,-25.3626,0.147528
sun,0.000341591,-0.00302538,5.23616e-06
jupiter,4.72039,1.46659,-0.11179
saturn,7.24439,5.70561,-0.387333
uranus,13.8621,-14.28,-0.232786
neptune,16.2708,-25.3563,0.147179
sun,0.000352865,-0.00305707,5.10559e-06
jupiter,4.71171,1.49423,-0.11171
saturn,7.23068,5.72158,-0.387065
uranus,13.8723,-14.2706,-0.232884
neptune,16.2804,-25.35,0.146829
sun,0.000364297,-0.00308869,4.97098e-06
jupiter,4.70287,1.52181,-0.111626
saturn,7.21693,5.73753,-0.386796
uranus,13.8825,-14.2612,-0.232981
neptune,16.2899,-25.3437,0.146479
sun,0.000375886,-0.00312027,4.83233e-06
jupiter,4.69388,1.54934,-0.111539
saturn,7.20314,5.75344,-0.386525
uranus,13.8927,-14.2518,-0.233079
neptune,16.2995,-25.3374,0.146129
sun,0.000387632,-0.00315178,4.68964e-06
jupiter,4.68473,1.57682,-0.111448
saturn,7.18932,5.76933,-0.386251
uranus,13.9029,-14.2424,-0.233176
neptune,16.3091,-25.3311,0.14578
sun,0.000399534,-0.00318324,4.54292e-06
jupiter,4.67544,1.60425,-0.111353
saturn,7.17546,5.78519,-0.385976
uranus,13.913,-14.233,-0.233273
neptune,16.3186,-25.3248,0.14543
sun,0.000411594,-0.00321464,4.39217e-06
jupiter,4.66598,1.63163,-0.111255
saturn,7.16156,5.80102,-0.385699
uranus,13.9232,-14.2236,-0.23337
neptune,16.3282,-25.3185,0.14508
sun,0.000423809,-0.00324598,4.23739e-06
jupiter,4.65638,1.65895,-0.111153
saturn,7.14763,5.81681,-0.38542
uranus,13.9334,-14.2142,-0.233467
neptune,16.3378,-25.3122,0.14473
sun,0.00043618,-0.00327727,4.07859e-06
jupiter,4.64663,1.68622,-0.111048
saturn,7.13366,5.83258,-0.385139
uranus,13.9435,-14.2048,-0.233564
neptune,16.3473,-25.3058,0.14438
sun,0.000448707,-0.00330849,3.91577e-06
jupiter,4.63672,1.71344,-0.110939
saturn,7.11966,5.84832,-0.384856
uranus,13.9537,-14.1953,-0.233661
neptune,16.3569,-25.2995,0.14403
sun,0.000461389,-0.00333965,3.74893e-06
jupiter,4.62666,1.7406,-0.110826
saturn,7.10562,5.86403,-0.384571
uranus,13.9638,-14.1859,-0.233757
neptune,16.3665,-25.2932,0.14368
sun,0.000474226,-0.00337075,3.57808e-06
jupiter,4.61645,1.7677,-0.11071
saturn,7.09155,5.87971,-0.384284
uranus,13.9739,-14.1765,-0.233854
neptune,16.376,-25.2869,0.14333
sun,0.000487217,-0.00340178,3.40322e-06
jupiter,4.60609,1.79475,-0.11059
saturn,7.07744,5.89536,-0.383995
uranus,13.9841,-14.167,-0.23395
neptune,16.3856,-25.2805,0.14298
sun,0.000500363,-0.00343275,3.22436e-06
jupiter,4.59558,1.82173,-0.110466
saturn,7.06329,5.91099,-0.383704
uranus,13.9942,-14.1575,-0.234046
neptune,16.3951,-25.2742,0.14263
sun,0.000513662,-0.00346366,3.04151e-06
jupiter,4.58492,1.84866,-0.110339
saturn,7.04911,5.92658,-0.383411
uranus,14.0043,-14.1481,-0.234143
neptune,16.4047,-25.2679,0.14228
sun,0.000527114,-0.0034945,2.85465e-06
jupiter,4.57411,1.87552,-0.110208
saturn,7.03489,5.94214,-0.383116
uranus,14.0144,-14.1386,-0.234239
neptune,16.4142,-25.2615,0.14193
sun,0.00054072,-0.00352527,2.66381e-06
jupiter,4.56315,1.90233,-0.110074
saturn,7.02064,5.95767,-0.38282
uranus,14.0245,-14.1291,-0.234335
neptune,16.4237,-25.2552,0.14158
sun,0.000554479,-0.00355598,2.46898e-06
jupiter,4.55205,1.92907,-0.109936
saturn,7.00635,5.97317,-0.382521
uranus,14.0346,-14.1196,-0.23443
neptune,16.4333,-25.2488,0.14123
sun,0.000568389,-0.00358662,2.27017e-06
jupiter,4.54079,1.95575,-0.109795
saturn,6.99202,5.98864,-0.382221
uranus,14.0447,-14.1101,-0.234526
neptune,16.4428,-25.2425,0.14088
sun,0.000582452,-0.00361719,2.06739e-06
jupiter,4.52939,1.98237,-0.109649
saturn,6.97766,6.00408,-0.381918
uranus,14.0547,-14.1006,-0.234622
neptune,16.4524,-25.2361,0.14053
sun,0.000596666,-0.00364769,1.86063e-06
jupiter,4.51784,2.00892,-0.109501
saturn,6.96327,6.01949,-0.381614
uranus,14.0648,-14.0911,-0.234717
neptune,16.4619,-25.2297,0.140179
sun,0.000611032,-0.00367811,1.64991e-06
jupiter,4.50614,2.0354,-0.109349
saturn,6.94884,6.03487,-0.381307
uranus,14.0749,-14.0816,-0.234812
neptune,16.4714,-25.2234,0.139829
sun,0.000625548,-0.00370847,1.43524e-06
jupiter,4.49429,2.06182,-0.109193
saturn,6.93437,6.05022,-0.380999
uranus,14.0849,-14.0721,-0.234907
neptune,16.481,-25.217,0.139479
sun,0.000640214,-0.00373875,1.2166e-06
jupiter,4.4823,2.08817,-0.109033
saturn,6.91987,6.06553,-0.380689
uranus,14.095,-14.0625,-0.235003
neptune,16.4905,-25.2106,0.139129
sun,0.000655031,-0.00376896,9.94021e-07
jupiter,4.47016,2.11446,-0.108871
saturn,6.90534,6.08082,-0.380377
uranus,14.105,-14.053,-0.235098
neptune,16.5,-25.2043,0.138779
sun,0.000669997,-0.0037991,7.67496e-07
jupiter,4.45787,2.14067,-0.108704
saturn,6.89077,6.09608,-0.380063
uranus,14.115,-14.0435,-0.235192
neptune,16.5095,-25.1979,0.138428
sun,0.000685112,-0.00382916,5.37036e-07
jupiter,4.44544,2.16681,-0.108534
saturn,6.87616,6.1113,-0.379747
uranus,14.1251,-14.0339,-0.235287
neptune,16.519,-25.1915,0.138078
sun,0.000700376,-0.00385915,3.02644e-07
jupiter,4.43287,2.19289,-0.108361
saturn,6.86152,6.12649,-0.379429
uranus,14.1351,-14.0244,-0.235382
neptune,16.5286,-25.1851,0.137728
sun,0.000715788,-0.00388905,6.4328e-08
jupiter,4.42015,2.21889,-0.108184
saturn,6.84685,6.14166,-0.379109
uranus,14.1451,-14.0148,-0.235476
neptune,16.5381,-25.1787,0.137377
sun,0.000731348,-0.00391889,-1.77906e-07
jupiter,4.40729,2.24482,-0.108003
saturn,6.83214,6.15679,-0.378787
uranus,14.1551,-14.0052,-0.235571
neptune,16.5476,-25.1723,0.137027
sun,0.000747055,-0.00394864,-4.24052e-07
jupiter,4.39428,2.27068,-0.107819
saturn,6.81739,6.17189,-0.378463
uranus,14.1651,-13.9956,-0.235665
neptune,16.5571,-25.1659,0.136677
sun,0.000762909,-0.00397831,-6.74104e-07
jupiter,4.38113,2.29646,-0.107631
saturn,6.80261,6.18696,-0.378138
uranus,14.1751,-13.986,-0.235759
neptune,16.5666,-25.1595,0.136326
sun,0.00077891,-0.0040079,-9.28053e-07
jupiter,4.36784,2.32217,-0.10744
saturn,6.7878,6.20199,-0.37781
uranus,14.1851,-13.9764,-0.235853
